id,age,calendar_year,employment_state,family_state,housing_state
1,18,2008,education,single_no_child,renting
1,19,2009,education,single_no_child,renting
1,20,2010,full_time,partnered_no_child,renting
1,21,2011,full_time,partnered_no_child,renting
1,22,2012,full_time,partnered_no_child,renting
1,23,2013,full_time,partnered_no_child,renting
1,24,2014,full_time,partnered_no_child,renting
1,25,2015,full_time,partnered_no_child,renting
1,26,2016,full_time,partnered_no_child,renting
1,27,2017,full_time,partnered_no_child,renting
1,28,2018,part_time,partnered_no_child,renting
1,29,2019,full_time,partnered_no_child,renting
1,30,2020,full_time,partnered_no_child,owner_occupied
2,18,2009,education,single_no_child,parental_home
2,19,2010,education,partnered_no_child,parental_home
2,20,2011,part_time,partnered_no_child,parental_home
2,21,2012,full_time,partnered_no_child,parental_home
2,22,2013,full_time,partnered_no_child,other_temporary
2,23,2014,full_time,partnered_no_child,other_temporary
2,24,2015,full_time,partnered_no_child,other_temporary
2,25,2016,unemployed,partnered_no_child,renting
2,26,2017,inactive_care,partnered_no_child,renting
2,27,2018,part_time,partnered_no_child,renting
2,28,2019,part_time,partnered_no_child,renting
2,29,2020,full_time,partnered_no_child,renting
2,30,2021,full_time,partnered_no_child,renting
3,18,2009,education,single_no_child,parental_home
3,19,2010,education,single_no_child,parental_home
3,20,2011,unemployed,single_no_child,renting
3,21,2012,part_time,single_no_child,renting
3,22,2013,full_time,single_no_child,renting
3,23,2014,unemployed,single_no_child,renting
3,24,2015,part_time,partnered_no_child,owner_occupied
3,25,2016,part_time,partnered_no_child,owner_occupied
3,26,2017,unemployed,partnered_no_child,owner_occupied
3,27,2018,full_time,partnered_with_child,owner_occupied
3,28,2019,part_time,partnered_with_child,owner_occupied
3,29,2020,full_time,partnered_with_child,owner_occupied
3,30,2021,full_time,partnered_with_child,owner_occupied
4,18,2011,education,single_no_child,parental_home
4,19,2012,education,single_no_child,parental_home
4,20,2013,education,single_no_child,parental_home
4,21,2014,full_time,partnered_no_child,parental_home
4,22,2015,full_time,partnered_no_child,parental_home
4,23,2016,full_time,partnered_no_child,parental_home
4,24,2017,full_time,partnered_no_child,renting
4,25,2018,inactive_care,partnered_no_child,renting
4,26,2019,inactive_care,partnered_no_child,renting
4,27,2020,part_time,partnered_with_child,renting
4,28,2021,part_time,partnered_with_child,renting
4,29,2022,full_time,partnered_with_child,renting
4,30,2023,full_time,partnered_with_child,renting
5,18,2010,education,single_no_child,parental_home
5,19,2011,unemployed,single_no_child,parental_home
5,20,2012,full_time,single_no_child,parental_home
5,21,2013,unemployed,single_no_child,parental_home
5,22,2014,part_time,partnered_no_child,parental_home
5,23,2015,unemployed,partnered_no_child,renting
5,24,2016,unemployed,partnered_no_child,renting
5,25,2017,inactive_care,partnered_no_child,renting
5,26,2018,part_time,partnered_with_child,renting
5,27,2019,full_time,partnered_with_child,renting
