id,birth_year,sex,parental_education,childhood_sep,region,migration_background,baseline_health_18,income_32_eur,self_rated_health_32,mental_health_score_32,employment_status_32,emp_18,emp_19,emp_20,emp_21,emp_22,emp_23,emp_24,emp_25,emp_26,emp_27,emp_28,emp_29,emp_30,fam_18,fam_19,fam_20,fam_21,fam_22,fam_23,fam_24,fam_25,fam_26,fam_27,fam_28,fam_29,fam_30,house_18,house_19,house_20,house_21,house_22,house_23,house_24,house_25,house_26,house_27,house_28,house_29,house_30
1,1990,male,medium,3,southern_finland,0,4,50100,4,10.4,full_time,education,education,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,part_time,full_time,full_time,single_no_child,single_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,owner_occupied
2,1991,male,medium,2,western_finland,0,3,42500,1,7.2,full_time,education,education,part_time,full_time,full_time,full_time,full_time,unemployed,inactive_care,part_time,part_time,full_time,full_time,single_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,parental_home,parental_home,parental_home,parental_home,other_temporary,other_temporary,other_temporary,renting,renting,renting,renting,renting,renting
3,1991,male,high,4,eastern_northern_finland,0,5,39000,4,6.8,full_time,education,education,unemployed,part_time,full_time,unemployed,part_time,part_time,unemployed,full_time,part_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_with_child,partnered_with_child,partnered_with_child,partnered_with_child,parental_home,parental_home,renting,renting,renting,renting,owner_occupied,owner_occupied,owner_occupied,owner_occupied,owner_occupied,owner_occupied,owner_occupied
4,1993,female,low,2,capital_region,0,4,39400,3,4.1,full_time,education,education,education,full_time,full_time,full_time,full_time,inactive_care,inactive_care,part_time,part_time,full_time,full_time,single_no_child,single_no_child,single_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_with_child,partnered_with_child,partnered_with_child,partnered_with_child,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,renting,renting,renting,renting,renting,renting,renting
5,1992,female,medium,2,capital_region,0,3,24700,2,9.1,unemployed,education,unemployed,full_time,unemployed,part_time,unemployed,unemployed,inactive_care,part_time,full_time,unemployed,full_time,unemployed,single_no_child,single_no_child,single_no_child,single_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_with_child,partnered_with_child,partnered_with_child,partnered_with_child,partnered_with_child,parental_home,parental_home,parental_home,parental_home,parental_home,renting,renting,renting,renting,renting,renting,renting,renting
6,1992,female,low,4,southern_finland,0,4,32400,4,11.4,full_time,education,unemployed,education,unemployed,unemployed,part_time,part_time,full_time,full_time,full_time,full_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,other_temporary,other_temporary,other_temporary,other_temporary,other_temporary,renting,renting
7,1991,male,medium,2,southern_finland,0,3,43600,4,4.9,full_time,education,education,education,education,education,full_time,full_time,full_time,unemployed,full_time,full_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,single_no_child,single_no_child,single_no_child,single_no_child,parental_home,parental_home,parental_home,parental_home,renting,renting,renting,renting,renting,renting,renting,renting,renting
8,1994,female,low,1,capital_region,1,3,33800,2,9.9,full_time,education,education,unemployed,part_time,full_time,unemployed,full_time,part_time,unemployed,full_time,part_time,full_time,full_time,single_no_child,single_no_child,single_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_with_child,other_temporary,other_temporary,renting,renting,renting,renting,renting,renting,owner_occupied,owner_occupied,owner_occupied,owner_occupied,owner_occupied
9,1993,male,low,3,capital_region,0,4,54500,3,8.0,full_time,education,education,education,full_time,full_time,full_time,full_time,inactive_care,inactive_care,part_time,part_time,part_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_parent,single_parent,single_parent,parental_home,parental_home,parental_home,parental_home,renting,renting,renting,renting,renting,renting,renting,renting,renting
10,1990,female,low,2,eastern_northern_finland,0,3,26500,4,12.3,full_time,education,education,unemployed,inactive_care,unemployed,part_time,part_time,full_time,full_time,full_time,full_time,part_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,parental_home,parental_home,parental_home,renting,other_temporary,other_temporary,renting,renting,renting,renting,renting,renting,renting
